ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
27,0,3,11990.2,800.352,15,925386,800.319,801.522,142.656,146.762,#FF0000,0.1,-42.3122
27,0,4,11990.2,750.393,16,2.36402e+06,750.356,751.496,145.09,158.173,#FF0000,0.1,-42.3122
27,0,5,11990.2,706.312,17,4.45269e+07,706.271,707.355,137.012,139.297,#FF0000,0.1,-42.3122
28,0,4,21802.9,808.52,27,2.80011e+07,808.606,809.549,129.083,138.961,#FF0000,0.1,-852.073
29,0,1,12331.8,1028.65,12,1.18809e+07,1028.64,1030.09,134.816,134.816,#FF0000,0.1,-564.891
30,0,1,1256.61,1257.61,1,1.14617e+07,1257.51,1260.72,137.012,137.012,#FF0000,0.1,-394.676
31,0,1,4237.78,1413.6,3,1.146e+07,1413.5,1416.04,132.856,132.856,#FF0000,0.1,-1355.42
32,0,1,15313.4,806.976,19,1.10649e+07,806.981,808.078,137.383,137.383,#FF0000,0.1,-780.049
33,0,2,22565.9,868.926,26,1.34106e+07,869.019,869.99,136.261,137.868,#FF0000,0.1,-618.296
33,0,4,22565.9,753.204,30,1.70422e+07,753.271,754.139,128.751,137.012,#FF0000,0.1,-618.296
34,0,1,22431.6,1320.51,17,3.13022e+06,1320.71,1322.09,131.154,131.154,#FF0000,0.1,28.941
34,0,2,22431.6,1247.21,18,5.31329e+06,1247.39,1248.7,130.805,131.154,#FF0000,0.1,28.941
34,0,2,22431.6,1181.62,19,4.48217e+06,1181.78,1183.04,130.805,131.154,#FF0000,0.1,28.941
34,0,1,22431.6,1122.59,20,3.45495e+06,1122.74,1123.94,131.154,131.154,#FF0000,0.1,28.941
34,0,2,22431.6,1069.18,21,5.71017e+06,1069.32,1070.47,130.805,131.154,#FF0000,0.1,28.941
34,0,2,22431.6,1020.63,22,6.38497e+06,1020.75,1021.86,130.805,131.154,#FF0000,0.1,28.941
34,0,2,22431.6,976.294,23,7.40468e+06,976.412,977.484,131.154,132.502,#FF0000,0.1,28.941
34,0,2,22431.6,935.657,24,1.04476e+07,935.766,936.801,130.805,131.154,#FF0000,0.1,28.941
34,0,6,22431.6,898.271,25,3.09739e+07,898.372,899.374,130.805,133.584,#FF0000,0.1,28.941
34,0,7,22431.6,863.761,26,2.071e+07,863.854,864.825,130.805,144.124,#FF0000,0.1,28.941
34,0,5,22431.6,831.807,27,2.50427e+07,831.893,832.835,130.805,132.168,#FF0000,0.1,28.941
34,0,5,22431.6,802.136,28,1.67998e+07,802.215,803.131,131.154,139.297,#FF0000,0.1,28.941
34,0,5,22431.6,774.511,29,1.1744e+07,774.583,775.475,131.154,136.613,#FF0000,0.1,28.941
34,0,2,22431.6,748.727,30,6.51485e+06,748.794,749.663,130.805,131.154,#FF0000,0.1,28.941
35,0,13,11354.4,1623.07,7,8.43322e+06,1623.11,1625.32,124.945,156.218,#FF0000,0.1,28.8694
35,0,51,11354.4,1420.31,8,9.44915e+07,1420.34,1422.29,123.725,153.761,#FF0000,0.1,28.8694
35,0,52,11354.4,1262.61,9,9.71578e+07,1262.62,1264.38,122.65,154.216,#FF0000,0.1,28.8694
35,0,30,11354.4,1136.45,10,2.82428e+07,1136.45,1138.05,122.995,155.691,#FF0000,0.1,28.8694
35,0,39,11354.4,1033.23,11,3.66113e+07,1033.22,1034.7,123.725,156.218,#FF0000,0.1,28.8694
35,0,41,11354.4,947.211,12,4.94191e+07,947.194,948.564,121.197,156.218,#FF0000,0.1,28.8694
35,0,36,11354.4,874.426,13,5.64629e+07,874.403,875.682,119.724,150.642,#FF0000,0.1,28.8694
35,0,38,11354.4,812.039,14,7.40443e+07,812.01,813.213,119.724,156.76,#FF0000,0.1,28.8694
35,0,32,11354.4,757.97,15,5.46028e+07,757.937,759.072,120.71,157.145,#FF0000,0.1,28.8694
35,0,23,11354.4,710.66,16,2.51855e+07,710.622,711.7,119.724,155.172,#FF0000,0.1,28.8694
35,0,20,11354.4,668.915,17,1.49123e+07,668.874,669.9,120.71,150.256,#FF0000,0.1,28.8694
35,0,4,11354.4,631.809,18,3.37615e+06,631.765,632.745,124.945,135.213,#FF0000,0.1,28.8694
36,0,2,10597.5,707.506,15,1.71364e+07,707.473,708.542,136.261,139.637,#FF0000,0.1,-381.456
36,0,1,10597.5,624.389,17,700061,624.348,625.314,135.213,135.213,#FF0000,0.1,-381.456
37,0,1,23417.9,937.723,25,547798,937.864,938.866,147.942,147.942,#FF0000,0.1,-719.194
37,0,2,23417.9,868.337,27,1.02662e+06,868.46,869.402,139.297,153.761,#FF0000,0.1,-719.194
37,0,2,23417.9,808.521,29,1.3335e+07,808.628,809.52,137.383,141.855,#FF0000,0.1,-719.194
38,0,1,12152,869.004,14,9.99583e+06,868.976,870.25,137.383,137.383,#FF0000,0.1,-130.922
38,0,1,12152,811.137,15,591215,811.104,812.307,141.368,141.368,#FF0000,0.1,-130.922
39,0,27,11315.5,1617.5,7,8.68505e+06,1617.55,1619.75,131.154,184.943,#FF0000,0.1,10.8459
39,0,87,11315.5,1415.44,8,9.93119e+07,1415.47,1417.42,127.533,189.558,#FF0000,0.1,10.8459
39,0,98,11315.5,1258.28,9,1.22247e+08,1258.29,1260.05,127.533,189.558,#FF0000,0.1,10.8459
39,0,58,11315.5,1132.55,10,4.73571e+07,1132.55,1134.16,130.113,182.3,#FF0000,0.1,10.8459
39,0,53,11315.5,1029.69,11,3.98438e+07,1029.68,1031.15,123.378,189.558,#FF0000,0.1,10.8459
39,0,59,11315.5,943.962,12,6.46038e+07,943.946,945.315,121.197,187.59,#FF0000,0.1,10.8459
39,0,74,11315.5,871.427,13,9.51533e+07,871.405,872.684,124.108,188.9,#FF0000,0.1,10.8459
39,0,79,11315.5,809.255,14,1.04371e+08,809.226,810.429,125.313,184.943,#FF0000,0.1,10.8459
39,0,79,11315.5,755.371,15,9.61334e+07,755.338,756.474,119.724,189.558,#FF0000,0.1,10.8459
39,0,77,11315.5,708.224,16,6.83871e+07,708.186,709.263,125.313,188.242,#FF0000,0.1,10.8459
39,0,63,11315.5,666.623,17,3.04985e+07,666.582,667.607,130.463,188.242,#FF0000,0.1,10.8459
39,0,35,11315.5,629.644,18,1.49054e+07,629.6,630.579,129.42,164.584,#FF0000,0.1,10.8459
